Model,Task,Format,Backend,Inference_ID,Latency_ms,Accuracy
MobileNetV5,Rock_Classification,INT8,NPU,1,23.923,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,2,25.056,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,3,24.543,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,4,24.759,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,5,26.191,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,6,24.499,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,7,23.19,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,8,22.883,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,9,21.604,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,10,23.774,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,11,23.287,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,12,22.237,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,13,24.848,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,14,25.212,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,15,24.612,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,16,24.431,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,17,22.44,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,18,25.957,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,19,24.827,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,20,24.094,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,21,23.013,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,22,24.387,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,23,27.125,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,24,23.793,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,25,23.286,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,26,23.145,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,27,23.61,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,28,22.957,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,29,24.38,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,30,23.732,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,31,23.796,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,32,22.894,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,33,23.312,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,34,23.841,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,35,24.721,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,36,23.821,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,37,24.461,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,38,23.335,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,39,22.622,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,40,23.732,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,41,23.145,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,42,25.178,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,43,23.182,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,44,25.192,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,45,25.25,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,46,23.279,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,47,24.43,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,48,24.307,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,49,25.461,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,50,23.134,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,51,25.622,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,52,24.085,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,53,24.475,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,54,23.676,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,55,22.296,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,56,22.785,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,57,24.766,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,58,23.584,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,59,23.33,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,60,25.984,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,61,23.542,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,62,23.239,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,63,23.117,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,64,24.646,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,65,24.394,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,66,24.949,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,67,23.973,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,68,22.812,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,69,22.993,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,70,24.2,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,71,23.98,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,72,24.044,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,73,23.965,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,74,24.524,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,75,25.333,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,76,25.03,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,77,23.653,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,78,24.7,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,79,25.221,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,80,23.693,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,81,23.793,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,82,25.227,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,83,23.579,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,84,23.521,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,85,24.655,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,86,22.915,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,87,24.887,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,88,24.924,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,89,24.602,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,90,23.177,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,91,26.381,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,92,24.745,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,93,25.16,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,94,24.845,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,95,25.112,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,96,25.676,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,97,24.289,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,98,25.425,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,99,23.25,79.87%
MobileNetV5,Rock_Classification,INT8,NPU,100,24.119,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,1,55.085,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,2,53.681,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,3,49.314,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,4,53.814,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,5,52.793,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,6,54.371,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,7,56.223,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,8,54.961,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,9,52.565,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,10,52.095,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,11,53.847,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,12,55.519,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,13,55.785,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,14,55.499,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,15,54.513,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,16,53.698,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,17,55.335,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,18,57.519,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,19,50.373,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,20,56.768,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,21,51.259,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,22,54.238,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,23,53.932,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,24,53.522,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,25,55.474,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,26,56.551,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,27,52.465,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,28,53.986,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,29,55.095,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,30,50.954,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,31,52.679,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,32,52.861,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,33,53.428,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,34,56.417,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,35,56.462,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,36,52.469,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,37,50.139,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,38,55.871,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,39,55.866,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,40,54.45,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,41,53.706,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,42,56.035,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,43,57.868,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,44,54.612,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,45,56.213,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,46,51.372,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,47,56.185,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,48,54.749,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,49,53.801,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,50,54.69,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,51,55.178,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,52,60.613,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,53,56.969,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,54,57.519,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,55,55.369,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,56,53.779,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,57,55.852,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,58,53.923,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,59,53.473,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,60,56.644,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,61,53.019,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,62,56.113,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,63,50.442,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,64,51.279,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,65,54.301,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,66,51.49,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,67,55.343,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,68,54.144,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,69,53.439,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,70,53.11,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,71,55.889,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,72,55.024,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,73,58.159,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,74,57.503,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,75,52.148,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,76,55.9,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,77,54.061,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,78,52.437,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,79,53.94,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,80,55.306,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,81,54.963,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,82,51.048,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,83,51.68,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,84,52.935,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,85,51.584,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,86,54.201,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,87,55.34,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,88,53.899,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,89,54.76,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,90,53.002,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,91,51.325,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,92,54.231,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,93,55.835,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,94,54.931,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,95,53.922,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,96,55.056,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,97,53.26,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,98,51.564,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,99,57.639,79.87%
MobileNetV5,Rock_Classification,INT8,GPU,100,54.539,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,1,2570.365,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,2,2498.693,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,3,2489.67,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,4,2495.03,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,5,2410.581,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,6,2415.569,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,7,2614.949,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,8,2551.237,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,9,2336.941,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,10,2496.797,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,11,2531.928,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,12,2517.233,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,13,2460.633,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,14,2488.981,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,15,2526.064,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,16,2421.755,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,17,2444.316,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,18,2434.207,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,19,2566.947,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,20,2407.971,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,21,2360.392,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,22,2285.861,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,23,2581.875,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,24,2498.704,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,25,2502.028,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,26,2456.057,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,27,2557.694,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,28,2701.692,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,29,2353.182,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,30,2420.082,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,31,2584.382,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,32,2393.991,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,33,2390.761,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,34,2449.26,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,35,2482.649,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,36,2405.136,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,37,2566.417,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,38,2267.583,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,39,2505.009,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,40,2248.145,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,41,2459.758,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,42,2346.059,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,43,2437.039,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,44,2438.633,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,45,2434.411,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,46,2466.169,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,47,2480.727,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,48,2439.583,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,49,2530.041,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,50,2455.631,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,51,2396.096,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,52,2310.139,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,53,2340.991,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,54,2336.794,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,55,2380.695,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,56,2404.004,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,57,2584.997,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,58,2452.635,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,59,2512.593,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,60,2401.438,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,61,2601.728,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,62,2468.424,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,63,2422.913,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,64,2437.682,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,65,2463.155,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,66,2447.616,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,67,2392.518,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,68,2497.97,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,69,2723.179,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,70,2608.648,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,71,2562.986,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,72,2357.016,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,73,2385.448,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,74,2331.891,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,75,2473.485,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,76,2423.707,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,77,2538.412,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,78,2401.798,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,79,2488.98,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,80,2537.647,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,81,2446.944,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,82,2358.825,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,83,2495.342,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,84,2345.196,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,85,2417.77,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,86,2427.37,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,87,2443.662,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,88,2447.766,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,89,2395.401,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,90,2454.55,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,91,2405.97,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,92,2395.231,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,93,2523.634,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,94,2457.696,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,95,2373.992,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,96,2512.418,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,97,2298.319,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,98,2562.201,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,99,2224.824,79.87%
MobileNetV5,Rock_Classification,INT8,CPU,100,2645.162,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,1,18.473,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,2,19.579,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,3,19.013,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,4,18.433,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,5,17.936,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,6,17.872,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,7,19.4,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,8,17.452,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,9,18.405,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,10,19.418,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,11,19.847,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,12,18.515,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,13,18.004,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,14,17.687,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,15,18.434,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,16,16.992,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,17,18.673,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,18,18.742,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,19,17.798,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,20,18.572,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,21,18.749,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,22,18.629,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,23,17.105,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,24,18.721,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,25,16.966,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,26,18.187,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,27,19.088,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,28,17.84,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,29,17.354,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,30,18.135,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,31,17.578,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,32,19.14,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,33,18.385,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,34,17.583,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,35,18.933,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,36,19.782,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,37,18.514,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,38,17.443,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,39,17.581,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,40,18.966,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,41,18.7,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,42,18.66,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,43,18.199,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,44,19.359,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,45,19.095,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,46,19.572,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,47,18.622,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,48,18.414,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,49,18.523,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,50,18.357,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,51,18.255,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,52,18.144,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,53,19.053,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,54,17.343,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,55,18.717,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,56,19.539,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,57,18.394,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,58,18.976,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,59,19.006,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,60,18.34,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,61,19.61,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,62,18.991,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,63,18.914,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,64,17.862,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,65,19.064,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,66,18.838,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,67,18.151,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,68,19.19,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,69,16.878,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,70,18.558,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,71,17.6,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,72,17.66,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,73,19.254,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,74,17.92,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,75,19.341,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,76,17.973,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,77,18.547,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,78,18.553,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,79,18.303,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,80,18.71,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,81,18.926,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,82,18.443,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,83,18.71,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,84,17.396,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,85,18.169,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,86,19.693,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,87,18.819,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,88,18.008,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,89,17.81,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,90,18.533,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,91,16.771,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,92,17.994,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,93,18.059,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,94,18.199,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,95,20.662,79.87%
MobileNetV5,Rock_Classification,INT4,NPU,96,17.855,79.87%
